#{"t_start": 1652690431.855623, "env_id": "CartPole-v1"}
r,l,t
27.0,27,0.147789
10.0,10,0.15388
19.0,19,0.166252
18.0,18,0.175723
63.0,63,0.229137
13.0,13,0.236212
14.0,14,0.245261
14.0,14,0.254036
60.0,60,0.311817
28.0,28,0.330197
15.0,15,0.343036
26.0,26,0.38059
36.0,36,0.404873
8.0,8,0.412006
45.0,45,0.443096
25.0,25,0.468689
26.0,26,0.484758
23.0,23,0.497955
104.0,104,0.550059
66.0,66,0.563466
51.0,51,0.573913
169.0,169,0.608905
62.0,62,0.62206
30.0,30,0.690039
13.0,13,0.702921
15.0,15,0.714195
54.0,54,0.766353
10.0,10,0.772645
78.0,78,0.823386
54.0,54,0.864716
38.0,38,0.887653
31.0,31,0.914876
25.0,25,0.929131
15.0,15,0.937268
74.0,74,0.989191
177.0,177,1.070964
297.0,297,1.129059
126.0,126,1.153284
86.0,86,1.169918
58.0,58,1.180458
68.0,68,1.231202
14.0,14,1.239682
24.0,24,1.275302
45.0,45,1.310787
61.0,61,1.360699
33.0,33,1.380363
75.0,75,1.434038
165.0,165,1.537087
226.0,226,1.598635
308.0,308,1.656111
129.0,129,1.681143
168.0,168,1.713246
359.0,359,1.783077
16.0,16,1.800908
31.0,31,1.82208
31.0,31,1.840619
26.0,26,1.865284
43.0,43,1.891383
38.0,38,1.912128
35.0,35,1.941369
56.0,56,1.973243
37.0,37,2.002022
19.0,19,2.013551
35.0,35,2.035739
43.0,43,2.068493
31.0,31,2.087234
57.0,57,2.11989
207.0,207,2.167662
80.0,80,2.182755
157.0,157,2.211569
172.0,172,2.244019
131.0,131,2.268691
28.0,28,2.287793
44.0,44,2.317765
56.0,56,2.363944
60.0,60,2.405186
81.0,81,2.462708
66.0,66,2.509967
33.0,33,2.529993
90.0,90,2.589512
153.0,153,2.649937
144.0,144,2.676162
130.0,130,2.701396
154.0,154,2.730072
146.0,146,2.756465
22.0,22,2.772888
53.0,53,2.804748
57.0,57,2.849282
31.0,31,2.8668
20.0,20,2.879318
19.0,19,2.899503
41.0,41,2.924344
23.0,23,2.939964
18.0,18,2.949301
113.0,113,3.024013
62.0,62,3.069131
135.0,135,3.126668
150.0,150,3.154802
116.0,116,3.175861
133.0,133,3.199985
134.0,134,3.22517
111.0,111,3.304009
17.0,17,3.314515
41.0,41,3.338971
111.0,111,3.413444
115.0,115,3.490744
64.0,64,3.537846
138.0,138,3.626956
149.0,149,3.655413
115.0,115,3.676034
138.0,138,3.702789
142.0,142,3.729039
28.0,28,3.749046
16.0,16,3.759125
227.0,227,3.922126
160.0,160,4.040295
42.0,42,4.064526
119.0,119,4.111928
114.0,114,4.132669
169.0,169,4.162453
147.0,147,4.188285
115.0,115,4.208298
89.0,89,4.265161
128.0,128,4.364333
204.0,204,4.501011
274.0,274,4.62883
240.0,240,4.674498
240.0,240,4.720787
239.0,239,4.765993
276.0,276,4.817372
84.0,84,4.880312
145.0,145,4.995059
99.0,99,5.067383
122.0,122,5.148462
341.0,341,5.257403
330.0,330,5.317093
361.0,361,5.387285
333.0,333,5.453045
347.0,347,5.516106
71.0,71,5.566186
37.0,37,5.600155
176.0,176,5.71585
87.0,87,5.780087
76.0,76,5.832972
257.0,257,5.919813
312.0,312,5.977437
316.0,316,6.035657
305.0,305,6.092117
287.0,287,6.145905
168.0,168,6.254854
149.0,149,6.367359
152.0,152,6.521958
237.0,237,6.563552
160.0,160,6.591057
157.0,157,6.618896
154.0,154,6.646208
117.0,117,6.737818
159.0,159,6.845355
74.0,74,6.899467
115.0,115,6.973023
500.0,500,7.092314
500.0,500,7.189594
500.0,500,7.280663
500.0,500,7.371087
500.0,500,7.461139
99.0,99,7.523139
350.0,350,7.77129
500.0,500,7.901583
500.0,500,7.995328
500.0,500,8.089552
500.0,500,8.179506
500.0,500,8.267968
364.0,364,8.527904
81.0,81,8.584862
500.0,500,8.714346
500.0,500,8.802747
500.0,500,8.895129
500.0,500,8.984731
500.0,500,9.074156
500.0,500,9.410158
500.0,500,9.514488
500.0,500,9.60468
500.0,500,9.694912
500.0,500,9.784142
500.0,500,9.87343
216.0,216,10.026544
233.0,233,10.180555
500.0,500,10.316957
500.0,500,10.409857
500.0,500,10.499204
500.0,500,10.587715
500.0,500,10.677385
500.0,500,10.998329
500.0,500,11.097593
500.0,500,11.184205
500.0,500,11.272991
500.0,500,11.363072
500.0,500,11.453031
472.0,472,11.763215
500.0,500,11.877629
500.0,500,11.964625
500.0,500,12.053533
500.0,500,12.142008
297.0,297,12.195272
216.0,216,12.348578
110.0,110,12.423338
91.0,91,12.487664
142.0,142,12.5695
118.0,118,12.590123
146.0,146,12.616769
131.0,131,12.639636
180.0,180,12.671694
130.0,130,12.762862
39.0,39,12.785172
206.0,206,12.921718
175.0,175,13.046472
129.0,129,13.068925
131.0,131,13.092844
140.0,140,13.118084
134.0,134,13.141155
209.0,209,13.281181
128.0,128,13.365951
151.0,151,13.461709
156.0,156,13.505985
164.0,164,13.535396
143.0,143,13.561482
176.0,176,13.592681
171.0,171,13.622534
473.0,473,13.943463
119.0,119,13.990005
130.0,130,14.013978
396.0,396,14.0843
125.0,125,14.10664
121.0,121,14.128183
180.0,180,14.246476
191.0,191,14.38366
65.0,65,14.434229
115.0,115,14.498953
101.0,101,14.517231
95.0,95,14.534322
110.0,110,14.554708
