#{"t_start": 1652699734.6762528, "env_id": "CartPole-v1"}
r,l,t
8.0,8,0.779708
10.0,10,1.079605
10.0,10,1.233697
9.0,9,1.348861
10.0,10,1.474288
8.0,8,1.583614
10.0,10,1.725121
8.0,8,1.845871
9.0,9,1.970034
10.0,10,2.112222
10.0,10,2.271486
10.0,10,2.422334
8.0,8,2.522621
9.0,9,2.659687
9.0,9,2.795559
10.0,10,2.936521
9.0,9,3.071734
10.0,10,3.220111
10.0,10,3.371676
10.0,10,3.504035
10.0,10,3.656617
10.0,10,3.806377
9.0,9,3.938023
9.0,9,4.065219
9.0,9,4.202348
9.0,9,4.341607
10.0,10,4.480056
10.0,10,4.621278
9.0,9,4.731857
10.0,10,4.871611
8.0,8,4.9761
10.0,10,5.130443
9.0,9,5.266123
9.0,9,5.394975
11.0,11,5.551245
9.0,9,5.686584
9.0,9,5.822384
9.0,9,5.950876
9.0,9,6.067902
11.0,11,6.202791
10.0,10,6.335123
10.0,10,6.467374
9.0,9,6.587914
9.0,9,6.722188
10.0,10,6.87606
10.0,10,7.008355
10.0,10,7.161153
9.0,9,7.296594
9.0,9,7.424283
9.0,9,7.545024
9.0,9,7.678781
9.0,9,7.814895
11.0,11,7.962925
10.0,10,8.113008
9.0,9,8.252119
9.0,9,8.384412
10.0,10,8.514826
9.0,9,8.650775
10.0,10,8.802972
9.0,9,8.930454
10.0,10,9.07159
8.0,8,9.194992
10.0,10,9.351152
8.0,8,9.457409
10.0,10,9.606163
8.0,8,9.728924
10.0,10,9.884125
9.0,9,10.001734
10.0,10,10.150905
9.0,9,10.287672
9.0,9,10.420725
9.0,9,10.541929
10.0,10,10.694953
9.0,9,10.820503
8.0,8,10.931809
9.0,9,11.063422
8.0,8,11.185752
9.0,9,11.317138
9.0,9,11.44295
9.0,9,11.579622
9.0,9,11.712539
9.0,9,11.851951
8.0,8,11.957912
9.0,9,12.096869
9.0,9,12.24109
9.0,9,12.381934
10.0,10,12.519287
9.0,9,12.649918
10.0,10,12.80033
9.0,9,12.924875
10.0,10,13.080519
10.0,10,13.234529
9.0,9,13.370031
9.0,9,13.497208
9.0,9,13.627521
9.0,9,13.767409
10.0,10,13.913709
10.0,10,14.052566
9.0,9,14.185003
10.0,10,14.335507
9.0,9,14.460962
10.0,10,14.594351
9.0,9,14.729506
10.0,10,14.877957
9.0,9,14.995429
9.0,9,15.126691
9.0,9,15.258871
