#{"t_start": 1655252739.545968, "env_id": "CartPole-v1"}
r,l,t
17.0,17,0.06083
15.0,15,0.064448
16.0,16,0.068718
44.0,44,0.078755
13.0,13,0.082056
34.0,34,0.089606
40.0,40,0.098433
12.0,12,0.101119
24.0,24,0.106383
24.0,24,0.111692
16.0,16,0.11534
14.0,14,0.118528
20.0,20,0.123016
33.0,33,0.130325
48.0,48,0.140903
46.0,46,0.151066
20.0,20,0.155511
18.0,18,0.159915
28.0,28,0.166432
10.0,10,0.174198
9.0,9,0.176118
10.0,10,0.178194
8.0,8,0.179848
11.0,11,0.182104
25.0,25,0.230572
13.0,13,0.233678
13.0,13,0.236767
24.0,24,0.242163
29.0,29,0.248647
11.0,11,0.251122
19.0,19,0.255356
11.0,11,0.25781
9.0,9,0.260249
26.0,26,0.266097
29.0,29,0.272615
11.0,11,0.27509
18.0,18,0.279094
21.0,21,0.283734
12.0,12,0.286408
15.0,15,0.289734
21.0,21,0.294358
18.0,18,0.29835
26.0,26,0.304417
15.0,15,0.307799
16.0,16,0.311368
10.0,10,0.313609
16.0,16,0.317169
13.0,13,0.320055
13.0,13,0.32295
11.0,11,0.325407
16.0,16,0.328938
10.0,10,0.331181
12.0,12,0.333886
15.0,15,0.337207
10.0,10,0.340105
10.0,10,0.342079
10.0,10,0.344037
10.0,10,0.346013
10.0,10,0.347986
11.0,11,0.356478
16.0,16,0.360253
18.0,18,0.364786
24.0,24,0.370337
54.0,54,0.38377
14.0,14,0.387078
21.0,21,0.392221
36.0,36,0.400567
14.0,14,0.403874
16.0,16,0.407449
18.0,18,0.411436
12.0,12,0.414109
15.0,15,0.417431
37.0,37,0.42561
23.0,23,0.430937
22.0,22,0.435972
38.0,38,0.444628
16.0,16,0.448199
36.0,36,0.456157
16.0,16,0.459724
18.0,18,0.464555
15.0,15,0.468051
10.0,10,0.472805
9.0,9,0.474645
9.0,9,0.476426
9.0,9,0.478265
10.0,10,0.48022
11.0,11,0.484661
24.0,24,0.490778
16.0,16,0.494958
14.0,14,0.498424
21.0,21,0.503458
98.0,98,0.525751
31.0,31,0.532803
39.0,39,0.541438
23.0,23,0.546524
21.0,21,0.551186
26.0,26,0.556979
15.0,15,0.560723
30.0,30,0.567596
15.0,15,0.570994
28.0,28,0.577165
13.0,13,0.580041
12.0,12,0.582697
11.0,11,0.585137
39.0,39,0.593704
