#{"t_start": 1652784617.659956, "env_id": null}
r,l,t
22.0,22,0.92775
18.0,18,1.592635
23.0,23,2.474891
18.0,18,3.225172
17.0,17,3.830015
14.0,14,4.418338
19.0,19,5.049558
24.0,24,5.791949
16.0,16,6.377153
21.0,21,7.040307
19.0,19,7.746674
21.0,21,8.494985
16.0,16,9.251713
33.0,33,10.30944
20.0,20,11.044398
17.0,17,11.722789
20.0,20,12.428106
17.0,17,13.079362
16.0,16,13.71463
17.0,17,14.398412
19.0,19,15.143448
18.0,18,15.822773
26.0,26,16.688543
18.0,18,17.366041
15.0,15,17.976761
15.0,15,18.582605
30.0,30,19.788839
29.0,29,20.697846
31.0,31,21.726447
31.0,31,22.633784
31.0,31,23.551764
21.0,21,24.298124
16.0,16,24.953966
18.0,18,25.682363
21.0,21,26.543657
19.0,19,27.190823
14.0,14,27.909406
18.0,18,28.711236
19.0,19,29.435163
24.0,24,30.259316
20.0,20,30.996995
30.0,30,32.000987
16.0,16,32.638641
23.0,23,33.517872
20.0,20,34.179481
17.0,17,34.839553
16.0,16,35.560228
30.0,30,36.480246
17.0,17,37.232648
18.0,18,37.890771
21.0,21,38.590919
16.0,16,39.208494
25.0,25,40.060321
18.0,18,40.706738
24.0,24,41.552015
33.0,33,43.619381
31.0,31,44.550309
30.0,30,45.481624
29.0,29,46.536197
26.0,26,47.426719
22.0,22,48.173245
13.0,13,48.749904
18.0,18,49.47185
22.0,22,50.289509
19.0,19,51.065749
14.0,14,51.684282
15.0,15,52.448715
33.0,33,53.478265
31.0,31,54.569654
15.0,15,55.210118
20.0,20,55.959001
18.0,18,56.64412
25.0,25,57.500227
13.0,13,58.068328
16.0,16,58.690235
14.0,14,59.318591
16.0,16,59.959655
13.0,13,60.535924
21.0,21,61.334319
13.0,13,61.903891
21.0,21,62.653663
17.0,17,63.318161
13.0,13,63.927921
16.0,16,64.592885
14.0,14,65.226028
37.0,37,66.361572
30.0,30,67.845213
28.0,28,68.767368
30.0,30,69.70015
27.0,27,70.604326
30.0,30,71.521759
14.0,14,72.110504
19.0,19,72.791311
21.0,21,73.545688
17.0,17,74.191016
24.0,24,75.049673
12.0,12,75.665696
32.0,32,76.750299
16.0,16,77.378562
20.0,20,78.118371
15.0,15,78.742133
18.0,18,79.416906
19.0,19,80.118349
15.0,15,80.762572
14.0,14,81.397251
21.0,21,82.153584
20.0,20,82.881699
17.0,17,83.527089
17.0,17,84.200136
14.0,14,84.782475
17.0,17,85.478698
14.0,14,86.206239
15.0,15,86.84698
17.0,17,87.633632
20.0,20,88.352692
12.0,12,88.906429
16.0,16,89.569225
18.0,18,90.276479
15.0,15,90.917295
26.0,26,92.323734
20.0,20,93.02858
24.0,24,93.873207
20.0,20,94.615855
28.0,28,95.541121
15.0,15,96.193721
17.0,17,96.87842
22.0,22,97.662779
20.0,20,98.38602
12.0,12,98.96715
15.0,15,99.596246
37.0,37,100.934735
30.0,30,102.447892
14.0,14,103.301601
25.0,25,105.210552
25.0,25,181.064785
33.0,33,182.449598
28.0,28,183.864741
35.0,35,185.293237
30.0,30,186.689342
39.0,39,188.461797
20.0,20,189.520895
22.0,22,190.656175
20.0,20,191.917526
28.0,28,296.080412
10219.0,10219,2897.135846
23.0,23,2897.886595
21.0,21,2898.632664
20.0,20,2899.410128
17.0,17,2900.136027
20.0,20,2900.849821
22.0,22,2901.642058
17.0,17,2902.388198
13.0,13,2902.990916
12.0,12,2903.592663
25.0,25,2904.48177
17.0,17,2905.141958
22.0,22,2905.858423
22.0,22,2906.568263
16.0,16,2907.232665
21.0,21,2907.978448
26.0,26,2908.994324
13.0,13,2909.565618
18.0,18,2910.362342
16.0,16,2911.004256
14.0,14,2911.720003
14.0,14,2912.306249
15.0,15,2912.945952
18.0,18,2913.731602
15.0,15,2914.344831
19.0,19,2915.042231
11.0,11,2915.594839
14.0,14,2916.157355
21.0,21,2916.916627
15.0,15,2917.553447
17.0,17,2918.26363
14.0,14,2918.952936
30.0,30,2920.557761
27.0,27,2921.441084
33.0,33,2922.434323
22.0,22,2923.21628
28.0,28,2924.144643
20.0,20,2924.851532
17.0,17,2925.689678
22.0,22,2926.568892
25.0,25,2927.466317
13.0,13,2928.054682
14.0,14,2928.658066
16.0,16,2929.453163
21.0,21,2930.253407
19.0,19,2930.938146
15.0,15,2931.561796
15.0,15,2932.200471
16.0,16,2932.91524
17.0,17,2933.657445
14.0,14,2934.40345
20.0,20,2935.10264
15.0,15,2935.834348
17.0,17,2936.64074
15.0,15,2937.284801
15.0,15,2937.936462
18.0,18,2938.671838
16.0,16,2939.328847
18.0,18,2940.173106
18.0,18,2940.936482
15.0,15,2941.539197
27.0,27,2942.553696
16.0,16,2943.184104
15.0,15,2943.930206
15.0,15,2944.561485
14.0,14,2945.274909
20.0,20,2946.431103
21.0,21,2947.205136
18.0,18,2947.867299
20.0,20,2948.5902
17.0,17,2949.342385
29.0,29,2950.286625
25.0,25,2951.167226
20.0,20,2951.902489
13.0,13,2952.489276
12.0,12,2953.068553
13.0,13,2953.608988
14.0,14,2954.207281
17.0,17,2954.840352
19.0,19,2955.681396
14.0,14,2956.292696
11.0,11,2956.872238
19.0,19,2957.672664
15.0,15,2958.306483
15.0,15,2958.977808
19.0,19,2959.81126
26.0,26,2960.807245
27.0,27,2961.730702
15.0,15,2962.472739
13.0,13,2963.065673
15.0,15,2963.665651
13.0,13,2964.359295
18.0,18,2965.046392
13.0,13,2965.652918
18.0,18,2966.360277
11.0,11,2966.893844
17.0,17,2967.569637
15.0,15,2968.307354
17.0,17,2968.970189
18.0,18,2969.678932
27.0,27,2971.001123
30.0,30,2972.083571
26.0,26,2972.932494
32.0,32,2973.969945
24.0,24,2974.824771
14.0,14,2975.450413
24.0,24,2976.473176
13.0,13,2977.059026
25.0,25,2978.06149
11.0,11,2978.630253
14.0,14,2979.42302
20.0,20,2980.167692
15.0,15,2980.757151
14.0,14,2981.358656
18.0,18,2982.063407
13.0,13,2982.766864
22.0,22,2983.727674
25.0,25,2984.782525
10.0,10,2985.283364
23.0,23,2986.055644
13.0,13,2986.647728
16.0,16,2987.302365
16.0,16,2987.965631
17.0,17,2988.598341
25.0,25,2989.465947
39.0,39,2990.682382
13.0,13,2991.270342
14.0,14,2991.881823
14.0,14,2992.58952
17.0,17,2993.337306
19.0,19,2994.040139
14.0,14,2994.625288
12.0,12,2995.16793
24.0,24,2996.474347
20.0,20,2997.319177
26.0,26,2998.168381
22.0,22,2998.925561
23.0,23,2999.709627
14.0,14,3000.293865
21.0,21,3001.043486
19.0,19,3001.749739
15.0,15,3002.39144
13.0,13,3002.957494
13.0,13,3003.650233
16.0,16,3004.275242
16.0,16,3004.907632
12.0,12,3005.462639
24.0,24,3006.287013
15.0,15,3006.965508
13.0,13,3007.672525
19.0,19,3008.505594
29.0,29,3009.641828
21.0,21,3010.446945
13.0,13,3010.987086
13.0,13,3011.567021
12.0,12,3012.120049
16.0,16,3012.755157
16.0,16,3013.386278
14.0,14,3014.029239
14.0,14,3014.660343
19.0,19,3015.499542
14.0,14,3016.088792
15.0,15,3016.824925
15.0,15,3017.44307
17.0,17,3018.21019
17.0,17,3018.915519
26.0,26,3019.8179
18.0,18,3020.575251
19.0,19,3021.754097
29.0,29,3022.729797
25.0,25,3023.747334
29.0,29,3024.68726
41.0,41,3025.944313
20.0,20,3026.680224
13.0,13,3027.261522
15.0,15,3027.876518
29.0,29,3028.90865
13.0,13,3029.487167
13.0,13,3030.075273
14.0,14,3030.768563
13.0,13,3031.288191
21.0,21,3032.051532
15.0,15,3032.703373
14.0,14,3033.321013
21.0,21,3034.134374
15.0,15,3034.887891
22.0,22,3035.66654
16.0,16,3036.2748
26.0,26,3037.175504
14.0,14,3037.727203
14.0,14,3038.327361
17.0,17,3039.010737
16.0,16,3039.650774
12.0,12,3040.217643
14.0,14,3040.803831
16.0,16,3041.404585
21.0,21,3042.192758
21.0,21,3042.953614
11.0,11,3043.473007
13.0,13,3044.133814
23.0,23,3044.94245
20.0,20,3045.79055
18.0,18,3046.97352
27.0,27,3047.828629
15.0,15,3048.439926
22.0,22,3049.353083
20.0,20,3050.201541
24.0,24,3050.990466
15.0,15,3051.72485
16.0,16,3052.369284
19.0,19,3053.230898
15.0,15,3053.85782
12.0,12,3054.433354
17.0,17,3055.07594
20.0,20,3055.814138
22.0,22,3056.61603
11.0,11,3057.261476
13.0,13,3057.940536
17.0,17,3058.641561
12.0,12,3059.187307
13.0,13,3059.892302
14.0,14,3060.479077
21.0,21,3061.309296
13.0,13,3061.896334
17.0,17,3062.55671
27.0,27,3063.527446
18.0,18,3064.270323
17.0,17,3065.03333
16.0,16,3065.691156
25.0,25,3066.49186
22.0,22,3067.305163
23.0,23,3068.086673
14.0,14,3068.812625
17.0,17,3069.530826
15.0,15,3070.146668
16.0,16,3071.363132
25.0,25,3072.240242
15.0,15,3072.836165
25.0,25,3073.698868
15.0,15,3074.272266
17.0,17,3074.930857
16.0,16,3075.601994
14.0,14,3076.15868
22.0,22,3077.061079
14.0,14,3077.673309
14.0,14,3078.29115
14.0,14,3078.913832
18.0,18,3079.59802
15.0,15,3080.375184
17.0,17,3081.040391
16.0,16,3081.792683
14.0,14,3082.522457
15.0,15,3083.177904
26.0,26,3084.242052
16.0,16,3084.909963
12.0,12,3085.454138
14.0,14,3086.027498
16.0,16,3086.649449
12.0,12,3087.325282
19.0,19,3088.101056
13.0,13,3088.649668
17.0,17,3089.341237
15.0,15,3090.002493
21.0,21,3090.931355
21.0,21,3091.791657
24.0,24,3092.664492
21.0,21,3093.469879
21.0,21,3094.25373
21.0,21,3095.027496
17.0,17,3096.148452
21.0,21,3096.896875
23.0,23,3097.671128
20.0,20,3098.467848
20.0,20,3099.285077
22.0,22,3100.144008
15.0,15,3100.751675
18.0,18,3101.550028
16.0,16,3102.306529
13.0,13,3102.891173
17.0,17,3103.575607
15.0,15,3104.166624
14.0,14,3104.794259
24.0,24,3105.761398
15.0,15,3106.354154
15.0,15,3106.988751
12.0,12,3107.585997
23.0,23,3108.411761
16.0,16,3109.158838
15.0,15,3109.893617
14.0,14,3110.477991
26.0,26,3111.44861
14.0,14,3112.050462
23.0,23,3112.919341
15.0,15,3113.570752
19.0,19,3114.419694
13.0,13,3114.987471
13.0,13,3115.582847
20.0,20,3116.308643
17.0,17,3116.989475
13.0,13,3117.618104
22.0,22,3118.403126
12.0,12,3118.955948
13.0,13,3119.544327
17.0,17,3120.983011
20.0,20,3121.721469
24.0,24,3122.511025
21.0,21,3123.352356
20.0,20,3124.079131
18.0,18,3124.78322
23.0,23,3125.635869
26.0,26,3126.508877
15.0,15,3127.11735
17.0,17,3127.794235
19.0,19,3128.685773
14.0,14,3129.29473
15.0,15,3129.897201
12.0,12,3130.446472
19.0,19,3131.123428
24.0,24,3131.958168
15.0,15,3132.572616
14.0,14,3133.320848
20.0,20,3134.190867
41.0,41,3135.534463
20.0,20,3136.398215
39.0,39,3137.648381
16.0,16,3138.437366
34.0,34,3139.665437
16.0,16,3140.303751
18.0,18,3140.96251
28.0,28,3141.897518
16.0,16,3142.511444
18.0,18,3143.200084
26.0,26,3144.477252
23.0,23,3145.213434
24.0,24,3146.102293
24.0,24,3146.913684
24.0,24,3147.816841
18.0,18,3148.481545
24.0,24,3149.316861
25.0,25,3150.306704
22.0,22,3151.197003
22.0,22,3152.011483
15.0,15,3152.620781
27.0,27,3153.523501
18.0,18,3154.208537
15.0,15,3154.81915
22.0,22,3155.733564
27.0,27,3156.67572
26.0,26,3157.581916
37.0,37,3158.769355
12.0,12,3159.385602
29.0,29,3160.333872
18.0,18,3161.100432
20.0,20,3161.857258
26.0,26,3162.872644
27.0,27,3163.808824
25.0,25,3164.696334
21.0,21,3165.640882
31.0,31,3167.565688
32.0,32,3168.555906
30.0,30,3169.491612
29.0,29,3170.418451
32.0,32,3171.37102
21.0,21,3172.157537
29.0,29,3173.148036
21.0,21,3173.969954
20.0,20,3174.68915
47.0,47,3176.151683
32.0,32,3177.170202
28.0,28,3178.113922
16.0,16,3178.806104
21.0,21,3179.566828
22.0,22,3180.316024
24.0,24,3181.201057
27.0,27,3182.22682
29.0,29,3183.222766
17.0,17,3183.862558
27.0,27,3184.892982
13.0,13,3185.474083
34.0,34,3186.566416
51.0,51,3188.113734
70.0,70,3190.730289
46.0,46,3192.084289
40.0,40,3193.380929
42.0,42,3194.634541
44.0,44,3195.954185
19.0,19,3196.76401
19.0,19,3197.593112
23.0,23,3198.461562
33.0,33,3199.568628
17.0,17,3200.370008
19.0,19,3201.19057
42.0,42,3202.535753
19.0,19,3203.295065
38.0,38,3204.4984
35.0,35,3205.669608
33.0,33,3206.738641
30.0,30,3207.729825
31.0,31,3208.880406
26.0,26,3209.81537
24.0,24,3210.807156
30.0,30,3211.915602
27.0,27,3212.801642
26.0,26,3213.749852
60.0,60,3215.872886
54.0,54,3217.415525
54.0,54,3218.947777
55.0,55,3220.550801
44.0,44,3221.965845
42.0,42,3223.398267
27.0,27,3224.504948
29.0,29,3225.489212
13.0,13,3226.211116
25.0,25,3227.049127
20.0,20,3227.899793
18.0,18,3228.554776
24.0,24,3229.534388
35.0,35,3230.777072
21.0,21,3231.554501
22.0,22,3232.458333
41.0,41,3233.837594
18.0,18,3234.551902
26.0,26,3235.458224
25.0,25,3236.339989
25.0,25,3237.288369
27.0,27,3238.240623
38.0,38,3239.591646
43.0,43,3241.686966
36.0,36,3242.775147
47.0,47,3244.125257
44.0,44,3245.442477
37.0,37,3246.598642
28.0,28,3247.531304
26.0,26,3248.431255
30.0,30,3249.412737
38.0,38,3250.757386
40.0,40,3252.024934
40.0,40,3253.319463
59.0,59,3255.110829
37.0,37,3256.294242
49.0,49,3257.832973
21.0,21,3258.61955
20.0,20,3259.397636
30.0,30,3260.403129
42.0,42,3261.689218
39.0,39,3263.068711
140.0,140,3266.894094
101.0,101,3269.590689
110.0,110,3272.567559
124.0,124,3275.755412
110.0,110,3278.839542
24.0,24,3279.804832
20.0,20,3280.584713
50.0,50,3282.154791
26.0,26,3283.133197
59.0,59,3284.998233
33.0,33,3286.070341
65.0,65,3288.17327
39.0,39,3289.387852
40.0,40,3290.691726
34.0,34,3291.899718
38.0,38,3293.167933
48.0,48,3294.557303
19.0,19,3295.270005
28.0,28,3296.596001
33.0,33,3297.67467
46.0,46,3299.165599
48.0,48,3300.552956
43.0,43,3301.863783
35.0,35,3303.036473
26.0,26,3303.960326
37.0,37,3305.266742
57.0,57,3307.116917
48.0,48,3308.61716
41.0,41,3310.133709
46.0,46,3311.714982
54.0,54,3313.36846
50.0,50,3314.988472
44.0,44,3316.363606
51.0,51,3317.971719
110.0,110,3321.5652
64.0,64,3323.340561
35.0,35,3324.44435
40.0,40,3325.787575
50.0,50,3327.374297
