#{"t_start": 1656590445.0914502, "env_id": "Pendulum-v1"}
r,l,t
-1152.097359,200,0.123623
-1068.032097,200,0.22405
-1177.795153,200,0.348144
-1337.570114,200,0.49619
-1215.28351,200,0.678704
-1215.98781,200,0.784222
-987.299705,200,0.92389
-503.472804,200,0.994863
-1311.800371,200,2.472368
-1673.952937,200,2.568665
-1239.038328,200,2.684574
-1809.179893,200,2.752915
-1240.021602,200,2.852344
-1069.651559,200,2.943563
-1807.430739,200,3.061654
-1827.183311,200,3.131001
-1006.093218,200,4.456206
-1147.958694,200,4.54511
-992.305759,200,4.660349
-1447.228654,200,4.72898
-1255.538429,200,4.82825
-1147.09304,200,4.917614
-876.87924,200,5.032387
-897.289287,200,5.100904
-1335.385141,200,6.408679
-1042.109437,200,6.500292
-887.045007,200,6.61487
-916.361437,200,6.682722
-1300.952058,200,6.785895
-1136.243443,200,6.878441
-921.46404,200,6.993159
-913.024583,200,7.062849
-1564.75622,200,8.4699
-963.807949,200,8.561476
-824.448124,200,8.67739
-770.465262,200,8.746631
-878.497352,200,8.848357
-983.88051,200,8.936914
-910.553929,200,9.053873
-836.482624,200,9.121918
-892.443468,200,10.51351
-898.530308,200,10.602852
-810.597638,200,10.718062
-543.717408,200,10.786489
-1166.782995,200,10.891125
-610.845087,200,10.984906
-499.755118,200,11.101101
-517.841229,200,11.17067
-651.482343,200,12.590403
-902.207296,200,12.681334
-257.670967,200,12.794548
-247.672103,200,12.871351
-650.044091,200,12.973184
-744.395014,200,13.067263
-292.315292,200,13.181816
-127.815214,200,13.251501
-827.770235,200,14.657182
-687.681184,200,14.747257
-131.513901,200,14.86161
-289.92011,200,14.931539
-520.4324,200,15.034255
-586.218271,200,15.12619
-1.919646,200,15.241004
-131.211069,200,15.309571
-898.592322,200,16.625092
-749.806698,200,16.717593
-126.853262,200,16.832802
-130.490422,200,16.901812
-394.21164,200,17.005762
-395.484099,200,17.09589
-0.360255,200,17.211779
-131.324904,200,17.281109
-606.019206,200,17.384155
-397.134963,200,18.762021
-279.604131,200,18.876403
-256.504854,200,18.945232
-272.26464,200,19.047426
-310.675349,200,19.13797
-132.285553,200,19.252647
-257.788107,200,19.322065
-366.891104,200,19.416681
-527.722848,200,20.72167
-6.465024,200,20.836883
-3.166398,200,20.906111
-254.816971,200,21.012617
-742.324915,200,21.103323
-134.393866,200,21.217582
-137.03027,200,21.287099
-280.891608,200,21.386545
-262.626145,200,22.735752
-132.815688,200,22.850435
-134.581059,200,22.918947
-267.176874,200,23.018873
-492.939158,200,23.114122
-138.552953,200,23.229066
-130.125172,200,23.29788
-398.719849,200,23.396713
-273.473499,200,24.798963
-348.527544,200,24.929148
-119.531678,200,25.002019
-404.007077,200,25.10419
-269.323893,200,25.216211
-131.521917,200,25.332386
-1.282768,200,25.402135
-367.600935,200,25.500071
-403.935322,200,26.874626
-269.976985,200,26.988996
-132.93569,200,27.059088
-259.973638,200,27.156898
-365.766507,200,27.248893
-329.774947,200,27.364173
-125.698874,200,27.433041
-267.246009,200,27.528878
-265.217183,200,28.828662
-246.944195,200,28.943177
-0.686937,200,29.012535
-353.619752,200,29.112051
-241.63374,200,29.202981
-128.893361,200,29.319878
-363.698113,200,29.388604
-381.177757,200,29.483681
-3.433963,200,30.780137
-133.482681,200,30.895128
-1.688425,200,30.964143
-137.869084,200,31.067533
-543.628913,200,31.161873
-133.839163,200,31.275596
-132.386065,200,31.343215
-381.497682,200,31.43758
-137.368342,200,32.731647
-241.262387,200,32.848839
-135.059978,200,32.919004
-254.513459,200,33.021482
-393.19151,200,33.112593
-131.858276,200,33.227298
-130.840231,200,33.295917
-265.099969,200,33.396195
-404.467128,200,33.508674
-131.438915,200,34.834641
-135.454633,200,34.903092
-412.344241,200,35.003514
-274.574309,200,35.096951
-275.298652,200,35.212142
-374.44009,200,35.281672
-118.016055,200,35.377046
-133.321551,200,35.468636
-254.348769,200,36.797821
-264.124739,200,36.866441
-137.067958,200,36.96189
-4.229062,200,37.060656
-412.793725,200,37.176952
-2.326355,200,37.245613
-132.172188,200,37.340329
-137.137897,200,37.42973
-275.37499,200,38.756543
-131.254867,200,38.826162
-263.667937,200,38.923578
-258.013409,200,39.016633
-5.336218,200,39.132071
-266.633515,200,39.200471
-407.564054,200,39.296834
-400.267578,200,39.388302
-134.802065,200,40.706753
-267.61591,200,40.775222
-387.150223,200,40.871575
-274.252152,200,40.962738
-273.215524,200,41.079777
-371.662751,200,41.14913
-541.943577,200,41.244666
-11.127799,200,41.33574
-270.968985,200,41.450499
-376.634692,200,41.51885
-6.337149,200,42.826256
-293.410681,200,42.918145
-268.904555,200,43.035561
-140.906248,200,43.104357
-401.793731,200,43.200907
-9.804419,200,43.292526
-5.424067,200,43.407914
-265.50133,200,43.476652
-261.433515,200,44.777664
-270.6303,200,44.867863
-278.103182,200,44.982946
-136.543654,200,45.052904
-273.497618,200,45.152069
-7.93013,200,45.243746
-7.666442,200,45.359333
-134.450225,200,45.428128
-9.554501,200,46.731203
-277.846509,200,46.823146
-268.475293,200,46.937215
-278.921805,200,47.006156
-535.423649,200,47.102922
-277.709596,200,47.195062
-135.939139,200,47.309601
-137.607594,200,47.378082
-268.946264,200,48.685526
-507.724015,200,48.775032
-379.600249,200,48.890643
-272.366438,200,48.96027
-270.737125,200,49.059664
-132.8543,200,49.150907
-275.169981,200,49.266211
-137.232908,200,49.33542
